,price,address,url
87,"2,595",2007 Mont-Royal Est - Montreal,"https://www.zumper.com/apartment-buildings/p507503/2007-mont-royal-est-montreal-delorimier-montreal-qc"""
88,"1,790",130 Rue Prince Arthur Ouest,"https://www.zumper.com/apartment-buildings/p457904/130-rue-prince-arthur-ouest-milton-parc-montreal-qc"""
89,"1,160+",468sg Condos Locatifs Plateau,"https://www.zumper.com/apartment-buildings/p479386/468sg-condos-locatifs-plateau-parc-laurier-montreal-qc"""
90,"1,250+",MILHAUS Outremont,"https://www.zumper.com/apartment-buildings/p524454/milhaus-outremont-outremont-montreal-qc"""
91,"1,891",2542 place Pierre-Falardeau,https://yimbyproject.com/fr/rosemont
92,"1,164",2542 place Pierre-Falardeau,https://duproprio.com/en/rental/montreal/rosemont-la-petite-patrie/apartment-for-rent/hab-2542-place-pierre-falardeau-941895
93,"1,295",5250 rue Molson,https://duproprio.com/en/rental/montreal/rosemont-la-petite-patrie/apartment-for-rent/hab-2542-place-pierre-falardeau-941981
94,"1,065",2444 rue Benny Crescent,https://duproprio.com/en/rental/montreal/rosemont-la-petite-patrie/apartment-for-rent/hab-5250-rue-molson-941994
95,"1,300",5727 chemin Hudson,https://duproprio.com/en/rental/montreal/cote-des-neiges-notre-dame-de-grace/apartment-for-rent/hab-2444-rue-benny-crescent-952441
96,"4,900",5539 avenue MacDonald,https://duproprio.com/en/rental/montreal/cote-des-neiges-notre-dame-de-grace/apartment-for-rent/hab-5727-chemin-hudson-952177
97,975,302-6380 avenue Somerled,https://duproprio.com/en/rental/montreal/cote-des-neiges-notre-dame-de-grace/house-for-rent/hab-5539-avenue-macdonald-952051
98,975,4550 avenue Bourret,https://duproprio.com/en/rental/montreal/cote-des-neiges-notre-dame-de-grace/apartment-for-rent/hab-302-6380-avenue-somerled-952017
99,"1,700",2525 boulevard Cavendish,https://duproprio.com/en/rental/montreal/cote-des-neiges-notre-dame-de-grace/apartment-for-rent/hab-4550-avenue-bourret-951991
100,"1,748",3280 boulevard Cavendish,https://duproprio.com/en/rental/montreal/cote-des-neiges-notre-dame-de-grace/apartment-for-rent/hab-2525-boulevard-cavendish-951843
101,"1,325",3280 boulevard Cavendish,https://duproprio.com/en/rental/montreal/cote-des-neiges-notre-dame-de-grace/apartment-for-rent/hab-3280-boulevard-cavendish-905975
102,"1,095",2525 boulevard Cavendish,None
103,"1,395",2525 boulevard Cavendish,https://duproprio.com/en/rental/montreal/cote-des-neiges-notre-dame-de-grace/apartment-for-rent/hab-3280-boulevard-cavendish-905972
104,795,2525 boulevard Cavendish,https://duproprio.com/en/rental/montreal/cote-des-neiges-notre-dame-de-grace/apartment-for-rent/hab-2525-boulevard-cavendish-951837
105,"1,415",2525 boulevard Cavendish,https://duproprio.com/en/rental/montreal/cote-des-neiges-notre-dame-de-grace/apartment-for-rent/hab-2525-boulevard-cavendish-951796
106,"1,400",509-5025 Jean Talon Ouest,https://duproprio.com/en/rental/montreal/cote-des-neiges-notre-dame-de-grace/apartment-for-rent/hab-2525-boulevard-cavendish-951794
107,"1,995",410-5360 rue Sherbrooke Ouest,https://duproprio.com/en/rental/montreal/cote-des-neiges-notre-dame-de-grace/apartment-for-rent/hab-2525-boulevard-cavendish-951579
108,"1,400",403-3705 Avenue Dupuis,https://duproprio.com/en/rental/montreal/cote-des-neiges-notre-dame-de-grace/apartment-for-rent/hab-509-5025-jean-talon-ouest-951252
109,"2,250",6237 chemin Hillsdale,https://duproprio.com/en/rental/montreal/cote-des-neiges-notre-dame-de-grace/apartment-for-rent/hab-410-5360-rue-sherbrooke-ouest-951324
110,"1,205",2480 rue Benny Crescent,https://duproprio.com/en/rental/montreal/cote-des-neiges-notre-dame-de-grace/apartment-for-rent/hab-403-3705-avenue-dupuis-870968
111,820,2525 boulevard Cavendish,https://duproprio.com/en/rental/montreal/cote-des-neiges-notre-dame-de-grace/apartment-for-rent/hab-6237-chemin-hillsdale-950929
112,"1,975",4911 chemin de la Côte-des-Neiges,https://duproprio.com/en/rental/montreal/cote-des-neiges-notre-dame-de-grace/apartment-for-rent/hab-2480-rue-benny-crescent-950895
